"","SYMBOL","ENTREZID","ENSEMBL"
"533","WDR26","80232","ENSG00000162923"
"534","CLPB","81570","ENSG00000162129"
"537","LONRF1","91694","ENSG00000154359"
"538","LONRF1","91694","ENSG00000285360"
"539","KLHL32","114792","ENSG00000186231"
"540","WFIKKN2","124857","ENSG00000173714"
"541","FAM168B","130074","ENSG00000152102"
"542","CKAP2L","150468","ENSG00000169607"
"543","ZNF100","163227","ENSG00000197020"
"544","ZNF100","163227","ENSG00000274746"
"545","QSOX2","169714","ENSG00000165661"
"547","CAPN15","6650","ENSG00000103326"
"548","CAPN15","6650","ENSG00000282214"
"549","ABL1","25","ENSG00000097007"
"550","ACTG1","71","ENSG00000184009"
"551","ADCY3","109","ENSG00000138031"
"552","AK2","204","ENSG00000004455"
"553","ALDOC","230","ENSG00000109107"
"554","ARHGDIA","396","ENSG00000141522"
"555","ARRB2","409","ENSG00000141480"
"556","ASCL2","430","ENSG00000183734"
"557","ASPH","444","ENSG00000198363"
"558","ATP2B4","493","ENSG00000058668"
"560","ATP6V1E1","529","ENSG00000131100"
"561","KIF1A","547","ENSG00000130294"
"562","BAK1","578","ENSG00000030110"
"563","ZFP36L1","677","ENSG00000185650"
"564","CALM3","808","ENSG00000160014"
"565","RUNX1","861","ENSG00000159216"
"566","CCNF","899","ENSG00000162063"
"567","CD81","975","ENSG00000110651"
"568","CDKN2A","1029","ENSG00000147889"
"569","CEBPB","1051","ENSG00000172216"
"570","CLCN7","1186","ENSG00000103249"
"571","CSTB","1476","ENSG00000160213"
"572","DAG1","1605","ENSG00000173402"
"573","DLX5","1749","ENSG00000105880"
"574","ATN1","1822","ENSG00000111676"
"575","E2F3","1871","ENSG00000112242"
"576","EPB41","2035","ENSG00000159023"
"577","FAAH","2166","ENSG00000117480"
"578","FKBP4","2288","ENSG00000004478"
"579","GAPDH","2597","ENSG00000111640"
"580","GJB1","2705","ENSG00000169562"
"581","GLUL","2752","ENSG00000135821"
"582","MKNK2","2872","ENSG00000099875"
"583","GRID1","2894","ENSG00000182771"
"584","GTF2F1","2962","ENSG00000125651"
"587","HLA-DOA","3111","ENSG00000204252"
"588","HLA-DOA","3111","ENSG00000232957"
"589","HLA-DOA","3111","ENSG00000235744"
"590","HLA-DOA","3111","ENSG00000206292"
"591","HLA-DOA","3111","ENSG00000231558"
"592","HLA-DOA","3111","ENSG00000232962"
"593","HLA-DOA","3111","ENSG00000230141"
"594","HOXA7","3204","ENSG00000122592"
"595","KCNK3","3777","ENSG00000171303"
"596","LASP1","3927","ENSG00000002834"
"597","LRCH4","4034","ENSG00000077454"
"598","MCM7","4176","ENSG00000166508"
"599","MDM4","4194","ENSG00000198625"
"600","MFGE8","4240","ENSG00000140545"
"601","MLN","4295","ENSG00000096395"
"602","MMP17","4326","ENSG00000198598"
"603","MNT","4335","ENSG00000070444"
"604","ATP6","4508","ENSG00000198899"
"605","COX1","4512","ENSG00000198804"
"606","ND5","4540","ENSG00000198786"
"607","MYBL2","4605","ENSG00000101057"
"608","CEACAM6","4680","ENSG00000086548"
"609","NF2","4771","ENSG00000186575"
"610","NFIX","4784","ENSG00000008441"
"611","NFKB2","4791","ENSG00000077150"
"612","NID1","4811","ENSG00000116962"
